bioproject,study_title,n_samples,paper_pmid,paper_doi,paper_title,paper_abstract_excerpt,search_status
PRJNA1223431,"Metagenome of contaminated soil from the old smelter in Avalos Chihuahua, Mexico. (Raw sequence reads)",2,,,,,pending
PRJNA1223678,,3,,,,,pending
PRJNA1225913,,16,,,,,pending
PRJNA1226121,,16,,,,,pending
PRJNA1229187,normal metagenome of environmental samples,1,,,,,pending
PRJNA1229785,,4,,,,,pending
PRJNA1232186,Draft Metagenomes of Wild and Cultivated Fragaria chiloensis Rhizospheres harboring biosynthetic clusters for stress adaptation,10,,,,,pending
PRJNA1232220,Belowground responses of Spartina alterniflora on plant interspecific interaction,9,,,,,pending
PRJNA1233945,Metagenomes from coniferous forest soils,15,,,,,pending
PRJNA1235941,Soil microbial diversity and soil physicochemical correlation in Atractylodes japonica Koidz.ex Kitam.,4,,,,,pending
PRJNA1246416,rhizosphere soil microbiome,12,,,,,pending
PRJNA1248781,Soil metagenome Raw sequence reads,4,,,,,pending
PRJNA1250808,Study on the Risks of Arsenic and Antibiotic Co-contamination to Antibiotic Resistance Genes (ARGs) in the Food Chain and Biochar-Mediated Regulation,32,,,,,pending
PRJNA1254973,,6,,,,,pending
PRJNA1255304,Biological and Soil Indicators of Environmental Stress in Cropping Systems Irrigated with Produced Water,9,,,,,pending
PRJNA1257062,,20,,,,,pending
PRJNA1266611,,30,,,,,pending
PRJNA1267775,,3,,,,,pending
PRJNA1267835,,16,,,,,pending
PRJNA1268148,,10,,,,,pending
PRJNA1271004,Metagenomic analysis of soil treated with cow dung based bioformulations from indigenous and exotic breeds to analyse microbial diversity,8,,,,,pending
PRJNA1271606,cultivated rice rhizosphere soil for Metagenome Raw sequence reads,54,,,,,pending
PRJNA1273084,Desert soil culture-enriched metagenomics,1,,,,,pending
PRJNA1273494,Shotgun Metagenomic Sequencing of Tomato Rhizosphere Soil from Kenya for Identification of Indigenous Ralstonia-targeting Bacteriophages,1,,,,,pending
PRJNA1273694,Rhizosphere soil and root endophytic fungal samples Raw sequence reads,8,,,,,pending
PRJNA1275579,Identification of New Microbial Species,1,,,,,pending
PRJNA1277360,Multi-element amendment reshapes rhizosphere microbiome: A microbially-driven Fe/Mn/S synergistic action for Cd immobilization,36,,,,,pending
PRJNA1281071,DMSP cycling in spartina anglica rhizosphere,12,,,,,pending
PRJNA1281299,Identification of new species and determination of physiological and biochemical indicators,3,,,,,pending
PRJNA1282495,,12,,,,,pending
PRJNA1283362,Study on the colonization of microorganisms in the garlic rhizosphere,3,,,,,pending
PRJNA1283476,The role of quorum sensing in rhizosphere community regulation during bacterial wilt pathogen invasion,12,,,,,pending
PRJNA1291156,Rhizosphere microbiome of chili pepper,54,,,,,pending
PRJNA1294162,PGPB effect on tomato under different irrigation conditions,10,,,,,pending
PRJNA1294524,The second batch of identification of new microbial species,12,,,,,pending
PRJNA1301010,longterm fertilizer Raw sequence reads,12,,,,,pending
PRJNA1307227,,33,,,,,pending
PRJNA1309759,Shotgun metagenomic sequencing of marigold rhizosphere inoculated with phosphate-solubilizing bacteria,19,,,,,pending
PRJNA1310735,Albizia odoratissima Raw sequence reads,10,,,,,pending
PRJNA1311632,Microbiomes of the rhizosphere and roots of wheats with or without symptoms of Fusarium head blight,54,,,,,pending
PRJNA1312297,Rauwolfia serpentina root and rhizosphere microbiome,2,,,,,pending
PRJNA1313916,"Potato response to low nitrogen stress: analysis from gene differential expression, metabolites to rhizosphere microorganisms",6,,,,,pending
PRJNA1314382,Microalgae inoculation should return to the root,12,,,,,pending
PRJNA1315336,"Rosette grass rhizosphere soil microbial communities from Yellowstone Nat. Park, Wyoming, USA - Amp1xRhiz39 metagenome",1,,,,,pending
PRJNA1315382,"Rosette grass rhizosphere soil microbial communities from Yellowstone Nat. Park, Wyoming, USA - HLGB5xRhiz61 metagenome",1,,,,,pending
PRJNA1315383,"Rosette grass rhizosphere soil microbial communities from Yellowstone Nat. Park, Wyoming, USA - MV2xRhiz26 metagenome",1,,,,,pending
PRJNA1315386,"Rosette grass rhizosphere soil microbial communities from Yellowstone Nat. Park, Wyoming, USA - AmpBxRhiz30 metagenome",1,,,,,pending
PRJNA1315387,"Rosette grass rhizosphere soil microbial communities from Yellowstone Nat. Park, Wyoming, USA - HLGB4xRhiz60 metagenome",1,,,,,pending
PRJNA1315431,"Rosette grass rhizosphere soil microbial communities from Yellowstone Nat. Park, Wyoming, USA - MV1xRhiz28 metagenome",1,,,,,pending
PRJNA1315669,"Rosette grass rhizosphere soil microbial communities from Yellowstone Nat. Park, Wyoming, USA - HLGB6xRhiz45 metagenome",1,,,,,pending
PRJNA1315740,"Rosette grass rhizosphere soil microbial communities from Yellowstone Nat. Park, Wyoming, USA - WhC2xBulk55 metagenome",1,,,,,pending
PRJNA1315826,"Rosette grass rhizosphere soil microbial communities from Yellowstone Nat. Park, Wyoming, USA - WT24xRhiz metagenome",1,,,,,pending
PRJNA1315920,"Rosette grass rhizosphere soil microbial communities from Yellowstone Nat. Park, Wyoming, USA - MV3xRhiz32 metagenome",1,,,,,pending
PRJNA1315923,"Rosette grass rhizosphere soil microbial communities from Yellowstone Nat. Park, Wyoming, USA - WhC4xRhiz51 metagenome",1,,,,,pending
PRJNA1316035,"Rhizosphere microbial communities from millet plant in semiarid region near Thies, Senegal - CSC4R metagenome",1,,,,,pending
PRJNA1316036,"Roots microbial communities from millet plant in semiarid region near Thies, Senegal - CSC1E metagenome",1,,,,,pending
PRJNA1316037,"Roots microbial communities from millet plant in semiarid region near Thies, Senegal - COC2E metagenome",1,,,,,pending
PRJNA1316093,"Rosette grass rhizosphere soil microbial communities from Yellowstone Nat. Park, Wyoming, USA - HLGB2xRhiz41 metagenome",1,,,,,pending
PRJNA1316101,"Rhizosphere microbial communities from millet plant in semiarid region near Thies, Senegal - CSA2R metagenome",1,,,,,pending
PRJNA1316102,"Roots microbial communities from millet plant in semiarid region near Thies, Senegal - COC3E metagenome",1,,,,,pending
PRJNA1316104,"Rhizosphere microbial communities from millet plant in semiarid region near Thies, Senegal - COA2R metagenome",1,,,,,pending
PRJNA1316117,"Rhizosphere microbial communities from millet plant in semiarid region near Thies, Senegal - COC1R metagenome",1,,,,,pending
PRJNA1316118,"Roots microbial communities from millet plant in semiarid region near Thies, Senegal - COA4E metagenome",1,,,,,pending
PRJNA1316121,"Rhizosphere microbial communities from millet plant in semiarid region near Thies, Senegal - CSC3R metagenome",1,,,,,pending
PRJNA1316167,"Rosette grass rhizosphere soil microbial communities from Yellowstone Nat. Park, Wyoming, USA - Ob2xRhiz28 metagenome",1,,,,,pending
PRJNA1316168,"Rosette grass rhizosphere soil microbial communities from Yellowstone Nat. Park, Wyoming, USA - Whc1xRhiz42 metagenome",1,,,,,pending
PRJNA1316214,"Rhizosphere microbial communities from millet plant in semiarid region near Thies, Senegal - COC2R metagenome",1,,,,,pending
PRJNA1316218,"Rhizosphere microbial communities from millet plant in semiarid region near Thies, Senegal - CSC1R metagenome",1,,,,,pending
PRJNA1316219,"Roots microbial communities from millet plant in semiarid region near Thies, Senegal - CSC2E metagenome",1,,,,,pending
PRJNA1316221,"Roots microbial communities from millet plant in semiarid region near Thies, Senegal - COC4E metagenome",1,,,,,pending
PRJNA1316295,"Roots microbial communities from millet plant in semiarid region near Thies, Senegal - COC1E metagenome",1,,,,,pending
PRJNA1316320,"Rosette grass rhizosphere soil microbial communities from Yellowstone Nat. Park, Wyoming, USA - Ob3xRhiz38 metagenome",1,,,,,pending
PRJNA1316506,"Roots microbial communities from millet plant in semiarid region near Thies, Senegal - COA3E metagenome",1,,,,,pending
PRJNA1316537,"Rhizosphere microbial communities from millet plant in semiarid region near Thies, Senegal - COA3R metagenome",1,,,,,pending
PRJNA1316538,"Roots microbial communities from millet plant in semiarid region near Thies, Senegal - COA1E metagenome",1,,,,,pending
PRJNA1316610,"Rhizosphere microbial communities from millet plant in semiarid region near Thies, Senegal - COC4R metagenome",1,,,,,pending
PRJNA1316652,"Roots microbial communities from millet plant in semiarid region near Thies, Senegal - COA2E_TR metagenome",1,,,,,pending
PRJNA1316653,"Rhizosphere microbial communities from millet plant in semiarid region near Thies, Senegal - COC3R metagenome",1,,,,,pending
PRJNA1316694,"Rhizosphere microbial communities from millet plant in semiarid region near Thies, Senegal - CSC2R1 metagenome",1,,,,,pending
PRJNA1316736,"Roots microbial communities from millet plant in semiarid region near Thies, Senegal - CSC4E metagenome",1,,,,,pending
PRJNA1316737,"Roots microbial communities from millet plant in semiarid region near Thies, Senegal - COA2E metagenome",1,,,,,pending
PRJNA1316763,"Roots microbial communities from millet plant in semiarid region near Thies, Senegal - CSA1E metagenome",1,,,,,pending
PRJNA1316895,"Rhizosphere microbial communities from millet plant in semiarid region near Thies, Senegal - CSA1R metagenome",1,,,,,pending
PRJNA1316969,"Rosette grass rhizosphere soil microbial communities from Yellowstone Nat. Park, Wyoming, USA - WT40xRhiz metagenome",1,,,,,pending
PRJNA1316971,"Rosette grass rhizosphere soil microbial communities from Yellowstone Nat. Park, Wyoming, USA - Amp2xRhiz35 metagenome",1,,,,,pending
PRJNA1316997,"Rhizosphere microbial communities from millet plant in semiarid region near Thies, Senegal - COA1R metagenome",1,,,,,pending
PRJNA1317017,"Rhizosphere microbial communities from millet plant in semiarid region near Thies, Senegal - COA4R metagenome",1,,,,,pending
PRJNA1317023,"Rhizosphere microbial communities from millet plant in semiarid region near Thies, Senegal - CSA4R metagenome",1,,,,,pending
PRJNA1317104,"Rhizosphere microbial communities from millet plant in semiarid region near Thies, Senegal - CSA3R metagenome",1,,,,,pending
PRJNA1317133,"Rosette grass rhizosphere soil microbial communities from Yellowstone Nat. Park, Wyoming, USA - WhC5xRhiz39 metagenome",1,,,,,pending
PRJNA1317186,"Roots microbial communities from millet plant in semiarid region near Thies, Senegal - CSA2E metagenome",1,,,,,pending
PRJNA1317289,"Roots microbial communities from millet plant in semiarid region near Thies, Senegal - CSA4E metagenome",1,,,,,pending
PRJNA1317295,"Rosette grass rhizosphere soil microbial communities from Yellowstone Nat. Park, Wyoming, USA - WT30xRhiz metagenome",1,,,,,pending
PRJNA1317338,"Roots microbial communities from millet plant in semiarid region near Thies, Senegal - CSC3E2 metagenome",1,,,,,pending
PRJNA1317339,"Roots microbial communities from millet plant in semiarid region near Thies, Senegal - CSC3E1 metagenome",1,,,,,pending
PRJNA1317377,"Rosette grass rhizosphere soil microbial communities from Yellowstone Nat. Park, Wyoming, USA - HLGB1xRhiz30 metagenome",1,,,,,pending
PRJNA1317469,"Rosette grass rhizosphere soil microbial communities from Yellowstone Nat. Park, Wyoming, USA - HLGB3xRhiz49 metagenome",1,,,,,pending
PRJNA1317471,"Rosette grass rhizosphere soil microbial communities from Yellowstone Nat. Park, Wyoming, USA - WhC3xRhiz35 metagenome",1,,,,,pending
PRJNA1328935,Rhizosphere soil Metagenome,16,,,,,pending
PRJNA1334533,symbiotic microbes of below-ground seagrass tissues Raw metaG sequence reads,23,,,,,pending
PRJNA1334534,sediment microbes in seagrass meadows Raw metaG sequence reads,6,,,,,pending
PRJNA1337312,,6,,,,,pending
PRJNA1337344,MICROBIOME ENGINEERING IN SUSCEPTIBLE COMMERCIAL BANANA CULTIVAR TO ENABLE FUSARIUM WILT RESISTANCE,4,,,,,pending
PRJNA1338037,Prunus persica Raw sequence reads,6,,,,,pending
PRJNA1338491,Metagenomic analysis of the rhizosphere microbiome of Corylus trees displaying differing levels of Anisogramma anomala disease resistance,15,,,,,pending
PRJNA1339071,"Rhizosphere soil microbial communities from sorghum plant in University of Arizona Maricopa Agricultural Center, AZ, USA - 11_0-15_MAC_RHIZO_20210810 metagenome",1,,,,,pending
PRJNA1339088,"Rhizosphere soil microbial communities from sorghum plant in University of Arizona Maricopa Agricultural Center, AZ, USA - 8_0-15_MAC_RHIZO_20210810 metagenome",1,,,,,pending
PRJNA1339122,"Rhizosphere soil microbial communities from sorghum plant in University of Arizona Maricopa Agricultural Center, AZ, USA - 6_0-15_MAC_RHIZO_20210810 metagenome",1,,,,,pending
PRJNA1339123,"Rhizosphere soil microbial communities from sorghum plant in University of Arizona Maricopa Agricultural Center, AZ, USA - 10_0-15_MAC_RHIZO_20210810 metagenome",1,,,,,pending
PRJNA1340374,"Switchgrass rhizosphere microbial communities from common garden in Columbia, Missouri, USA - STR.MO.3A.D28.F metagenome",1,,,,,pending
PRJNA1340814,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - E14_A_4_drought metagenome",1,,,,,pending
PRJNA1340815,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - D15_A_3_drought metagenome",1,,,,,pending
PRJNA1340816,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - I11_A_3_control metagenome",1,,,,,pending
PRJNA1340817,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - A15_A_4_drought metagenome",1,,,,,pending
PRJNA1340818,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - E11_A_4_control metagenome",1,,,,,pending
PRJNA1340819,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - E14_B_4_drought metagenome",1,,,,,pending
PRJNA1340820,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - J12_A_4_control metagenome",1,,,,,pending
PRJNA1340821,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - A25_A_5_drought metagenome",1,,,,,pending
PRJNA1340896,"Sugarcane rhizosphere microbial communities from a greenhouse in University of Florida, Reddick, FL, USA - L1_TR_GHRAS_03 metagenome",1,,,,,pending
PRJNA1340900,"Sugarcane rhizosphere microbial communities from experimental field in University of Florida, Reddick, FL, USA - L2_T2_FRAS_03 metagenome",1,,,,,pending
PRJNA1340902,"Sugarcane rhizosphere microbial communities from a greenhouse in University of Florida, Reddick, FL, USA - L4_TR_GHRAS_02 metagenome",1,,,,,pending
PRJNA1340903,"Sugarcane rhizosphere microbial communities from a greenhouse in University of Florida, Reddick, FL, USA - L5_TR_GHRAS_01 metagenome",1,,,,,pending
PRJNA1340904,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - H12_B_3_drought metagenome",1,,,,,pending
PRJNA1340906,"Sugarcane rhizosphere microbial communities from experimental field in University of Florida, Reddick, FL, USA - L4_T2_FRAS_03 metagenome",1,,,,,pending
PRJNA1340907,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - D2_A_0_control metagenome",1,,,,,pending
PRJNA1340908,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - C11_A_4_control metagenome",1,,,,,pending
PRJNA1340909,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - H21_B_7_control metagenome",1,,,,,pending
PRJNA1340970,"Sugarcane rhizosphere microbial communities from experimental field in University of Florida, Reddick, FL, USA - L2_T2_FRAS_01 metagenome",1,,,,,pending
PRJNA1340971,"Sugarcane rhizosphere microbial communities from experimental field in University of Florida, Reddick, FL, USA - L3_T2_FRAS_02 metagenome",1,,,,,pending
PRJNA1340973,"Sugarcane rhizosphere microbial communities from experimental field in University of Florida, Reddick, FL, USA - L2_T2_FRAS_02 metagenome",1,,,,,pending
PRJNA1340988,"Sugarcane rhizosphere microbial communities from a greenhouse in University of Florida, Reddick, FL, USA - L3_TR_GHRAS_03 metagenome",1,,,,,pending
PRJNA1340989,"Sugarcane rhizosphere microbial communities from experimental field in University of Florida, Reddick, FL, USA - L3_T2_FRAS_03 metagenome",1,,,,,pending
PRJNA1340991,"Sugarcane rhizosphere microbial communities from experimental field in University of Florida, Reddick, FL, USA - L5_T2_FRAS_01 metagenome",1,,,,,pending
PRJNA1340992,"Sugarcane rhizosphere microbial communities from a greenhouse in University of Florida, Reddick, FL, USA - L1_TR_GHRAS_01 metagenome",1,,,,,pending
PRJNA1340993,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - J2_A_2_control metagenome",1,,,,,pending
PRJNA1340996,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - C24_B_7_control metagenome",1,,,,,pending
PRJNA1340997,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - C13_A_4_drought metagenome",1,,,,,pending
PRJNA1340999,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - C1_A_2_drought metagenome",1,,,,,pending
PRJNA1341000,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - J25_B_7_control metagenome",1,,,,,pending
PRJNA1341054,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - I2_A_0_drought metagenome",1,,,,,pending
PRJNA1341075,"Sugarcane rhizosphere microbial communities from a greenhouse in University of Florida, Reddick, FL, USA - L1_TR_GHRAS_02 metagenome",1,,,,,pending
PRJNA1341076,"Sugarcane rhizosphere microbial communities from a greenhouse in University of Florida, Reddick, FL, USA - L5_TR_GHRAS_03 metagenome",1,,,,,pending
PRJNA1341079,"Sugarcane rhizosphere microbial communities from a greenhouse in University of Florida, Reddick, FL, USA - L2_TR_GHRAS_02 metagenome",1,,,,,pending
PRJNA1341080,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - I13_A_3_drought metagenome",1,,,,,pending
PRJNA1341081,"Sugarcane rhizosphere microbial communities from a greenhouse in University of Florida, Reddick, FL, USA - L3_TR_GHRAS_02 metagenome",1,,,,,pending
PRJNA1341082,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - A4_B_2_control metagenome",1,,,,,pending
PRJNA1341083,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - G24_B_5_control metagenome",1,,,,,pending
PRJNA1341084,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - E25_B_7_drought metagenome",1,,,,,pending
PRJNA1341136,"Rhizoplane soil microbial communities from switchgrass plant in W.K. Kellogg Biological Station, Michigan, USA - KLW rhizoplane_8v unlabeled metagenome",1,,,,,pending
PRJNA1341138,"Rhizoplane soil microbial communities from switchgrass plant in W.K. Kellogg Biological Station, Michigan, USA - CIR rhizoplane_1c N15 metagenome",1,,,,,pending
PRJNA1341141,"Root microbial communities from switchgrass plant in W.K. Kellogg Biological Station, Michigan, USA - KLW root_6e N15 metagenome",1,,,,,pending
PRJNA1341156,"Sugarcane rhizosphere microbial communities from a greenhouse in University of Florida, Reddick, FL, USA - L2_TR_GHRAS_03 metagenome",1,,,,,pending
PRJNA1341159,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - F4_B_2_drought metagenome",1,,,,,pending
PRJNA1341160,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - G11_A_3_drought metagenome",1,,,,,pending
PRJNA1341161,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - D14_B_3_control metagenome",1,,,,,pending
PRJNA1341162,"Sugarcane rhizosphere microbial communities from experimental field in University of Florida, Reddick, FL, USA - L4_T2_FRAS_02 metagenome",1,,,,,pending
PRJNA1341225,"Root microbial communities from switchgrass plant in W.K. Kellogg Biological Station, Michigan, USA - KLW root_4e N15 metagenome",1,,,,,pending
PRJNA1341227,"Root microbial communities from switchgrass plant in W.K. Kellogg Biological Station, Michigan, USA - KLW root_8y unlabeled metagenome",1,,,,,pending
PRJNA1341228,"Rhizoplane soil microbial communities from switchgrass plant in W.K. Kellogg Biological Station, Michigan, USA - CIR rhizoplane_1d N15 metagenome",1,,,,,pending
PRJNA1341242,"Sugarcane rhizosphere microbial communities from experimental field in University of Florida, Reddick, FL, USA - L1_T2_FRAS_03 metagenome",1,,,,,pending
PRJNA1341243,"Sugarcane rhizosphere microbial communities from experimental field in University of Florida, Reddick, FL, USA - WT_T2_FRAS_02 metagenome",1,,,,,pending
PRJNA1341245,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - C13_B_4_drought metagenome",1,,,,,pending
PRJNA1341246,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - G5_A_2_control metagenome",1,,,,,pending
PRJNA1341247,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - H12_A_3_drought metagenome",1,,,,,pending
PRJNA1341248,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - H24_A_5_drought metagenome",1,,,,,pending
PRJNA1341250,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - I12_B_3_control metagenome",1,,,,,pending
PRJNA1341285,"Root microbial communities from switchgrass plant in W.K. Kellogg Biological Station, Michigan, USA - KLW root_8x unlabeled metagenome",1,,,,,pending
PRJNA1341326,"Sugarcane rhizosphere microbial communities from a greenhouse in University of Florida, Reddick, FL, USA - WT_TR_GHRAS_03 metagenome",1,,,,,pending
PRJNA1341327,"Sugarcane rhizosphere microbial communities from a greenhouse in University of Florida, Reddick, FL, USA - L2_TR_GHRAS_01 metagenome",1,,,,,pending
PRJNA1341333,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - I12_A_3_control metagenome",1,,,,,pending
PRJNA1341334,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - F22_A_5_drought metagenome",1,,,,,pending
PRJNA1341400,"Rhizoplane soil microbial communities from switchgrass plant in W.K. Kellogg Biological Station, Michigan, USA - KLW rhizoplane_4c N15 metagenome",1,,,,,pending
PRJNA1341402,"Rhizoplane soil microbial communities from switchgrass plant in W.K. Kellogg Biological Station, Michigan, USA - KLW rhizoplane_5c N15 metagenome",1,,,,,pending
PRJNA1341416,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - C1_B_2_drought metagenome",1,,,,,pending
PRJNA1341417,"Sugarcane rhizosphere microbial communities from a greenhouse in University of Florida, Reddick, FL, USA - L4_TR_GHRAS_01 metagenome",1,,,,,pending
PRJNA1341420,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - F21_B_7_control metagenome",1,,,,,pending
PRJNA1341422,"Sugarcane rhizosphere microbial communities from experimental field in University of Florida, Reddick, FL, USA - WT_T2_FRAS_03 metagenome",1,,,,,pending
PRJNA1341423,"Sugarcane rhizosphere microbial communities from experimental field in University of Florida, Reddick, FL, USA - L4_T2_FRAS_01 metagenome",1,,,,,pending
PRJNA1341457,"Rhizoplane soil microbial communities from switchgrass plant in W.K. Kellogg Biological Station, Michigan, USA - CIR rhizoplane_7w unlabeled metagenome",1,,,,,pending
PRJNA1341504,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - I22_B_5_control metagenome",1,,,,,pending
PRJNA1341505,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - I5_A_0_control metagenome",1,,,,,pending
PRJNA1341506,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - F11_A_3_drought metagenome",1,,,,,pending
PRJNA1341600,"Root microbial communities from switchgrass plant in W.K. Kellogg Biological Station, Michigan, USA - CIR root_1e N15 metagenome",1,,,,,pending
PRJNA1341601,"Rhizoplane soil microbial communities from switchgrass plant in W.K. Kellogg Biological Station, Michigan, USA - CIR rhizoplane_2d N15 metagenome",1,,,,,pending
PRJNA1341613,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - F4_A_2_drought metagenome",1,,,,,pending
PRJNA1341614,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - G3_A_0_drought metagenome",1,,,,,pending
PRJNA1341615,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - B5_A_2_drought metagenome",1,,,,,pending
PRJNA1341616,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - I4_B_2_drought metagenome",1,,,,,pending
PRJNA1341617,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - H24_B_5_drought metagenome",1,,,,,pending
PRJNA1341659,"Rhizoplane soil microbial communities from switchgrass plant in W.K. Kellogg Biological Station, Michigan, USA - KLW rhizoplane_6c N15 metagenome",1,,,,,pending
PRJNA1341679,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - G13_A_4_drought metagenome",1,,,,,pending
PRJNA1341755,"Rhizoplane soil microbial communities from switchgrass plant in W.K. Kellogg Biological Station, Michigan, USA - KLW rhizoplane_8w unlabeled metagenome",1,,,,,pending
PRJNA1341756,"Root microbial communities from switchgrass plant in W.K. Kellogg Biological Station, Michigan, USA - CIR root_7x unlabeled metagenome",1,,,,,pending
PRJNA1341757,"Root microbial communities from switchgrass plant in W.K. Kellogg Biological Station, Michigan, USA - CIR root_2e N15 metagenome",1,,,,,pending
PRJNA1341766,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - G13_B_4_drought metagenome",1,,,,,pending
PRJNA1341767,"Sugarcane rhizosphere microbial communities from a greenhouse in University of Florida, Reddick, FL, USA - WT_TR_GHRAS_01 metagenome",1,,,,,pending
PRJNA1341768,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - I4_A_2_drought metagenome",1,,,,,pending
PRJNA1341769,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - D14_A_3_control metagenome",1,,,,,pending
PRJNA1341771,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - B1_A_0_drought metagenome",1,,,,,pending
PRJNA1341774,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - A25_B_5_drought metagenome",1,,,,,pending
PRJNA1341837,"Root microbial communities from switchgrass plant in W.K. Kellogg Biological Station, Michigan, USA - CIR root_2f N15 metagenome",1,,,,,pending
PRJNA1341840,"Rhizoplane soil microbial communities from switchgrass plant in W.K. Kellogg Biological Station, Michigan, USA - CIR rhizoplane_3d N15 metagenome",1,,,,,pending
PRJNA1341848,"Sugarcane rhizosphere microbial communities from a greenhouse in University of Florida, Reddick, FL, USA - WT_TR_GHRAS_02 metagenome",1,,,,,pending
PRJNA1341925,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - E11_B_4_control metagenome",1,,,,,pending
PRJNA1342001,"Root microbial communities from switchgrass plant in W.K. Kellogg Biological Station, Michigan, USA - CIR root_3e N15 metagenome",1,,,,,pending
PRJNA1342002,"Rhizoplane soil microbial communities from switchgrass plant in W.K. Kellogg Biological Station, Michigan, USA - CIR rhizoplane_7v unlabeled metagenome",1,,,,,pending
PRJNA1342013,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - J4_A_0_control metagenome",1,,,,,pending
PRJNA1342014,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - D25_A_7_control metagenome",1,,,,,pending
PRJNA1342090,"Sugarcane rhizosphere microbial communities from experimental field in University of Florida, Reddick, FL, USA - L3_T2_FRAS_01 metagenome",1,,,,,pending
PRJNA1342092,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - D25_B_7_control metagenome",1,,,,,pending
PRJNA1342164,"Root microbial communities from switchgrass plant in W.K. Kellogg Biological Station, Michigan, USA - KLW root_5e N15 metagenome",1,,,,,pending
PRJNA1342175,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - C11_B_4_control metagenome",1,,,,,pending
